RuleID,Rule Pattern,Match Field,Failure Category,Category,Priority,Confidence,Created By,Hit Count
R048,CPV Job.*ib_write_bw_pair,summary,CPV Job Issue - IB Write BW Pair,RDMA Cable,75,0.8,llm,0
R049,CPV Job.*rccl_.*multitest_pollara,summary,CPV Job Issue - RCCL Multi-Host Test,GPU Interconnect,75,0.8,llm,0
R050,CPV Job.*rccl_all_reduce_perf|CPV Job.*rccl_allreduce_perf,summary,CPV Job Issue - RCCL AllReduce Perf,GPU Interconnect,75,0.8,llm,0
R051,CPV Job.*agfhc_level_1_to_5|CPV Job.*agfhc_hbm,summary,CPV Job Issue - AGFHC Diagnostics,GPU,75,0.8,llm,0
R052,CPV Job.*initial_setup,summary,CPV Job Issue - Initial Setup,HW- General,70,0.75,llm,0
R053,CPV Job.*gpuburn_short,summary,CPV Job Issue - GPUBurn Short,GPU,75,0.8,llm,0
R054,CPV Job.*cable_validation,summary,CPV Job Issue - Cable Validation,RDMA Cable,75,0.8,llm,0
R055,CPV Job.*iperf_pair,summary,CPV Job Issue - iPerf Pair,Networking,75,0.8,llm,0
R056,CPV Job.*miniHPL,summary,CPV Job Issue - miniHPL,GPU,75,0.8,llm,0
R057,CPV Job.*sunvts_burnin,summary,CPV Job Issue - SUNVTS Burn-In,HW- General,75,0.8,llm,0
R058,CPV Job.*rccl_alltoall_perf,summary,CPV Job Issue - RCCL AllToAll Perf,GPU Interconnect,75,0.8,llm,0
R059,CPV Job.*meta_validation,summary,CPV Job Issue - Meta Validation,HW- General,70,0.75,llm,0
R060,WARN.*Clock speed is lower than max clock speed,description,GPU Clock Speed Warning,GPU,55,0.7,llm,0
R061,WARN.*unsupported driver,description,GPU Driver Version Warning,GPU,55,0.7,llm,0
